q45,q46,q47,serial_number,date_int,stime,stimecheck,log_sheet,q1,q2,q2_1,q3,q4,q5,q6,q7,q8,q9,q10,q11a_n,q11b_n,q11c_n,q11c_n_001,q11e_n,q11f_n,q11g_n,q11h_n,q11a_b,q11b_b,q11c_b,q11e_b,q11f_b,q11g_b,q11h_b,q11a_o,q11b_o,q11c_o,q11e_o,q11f_o,q11g_o,q11h_o,q11i,q11i1,q11i2,q11i3,q11i4,q11i5,q11i6,q11i7,q11i_op,q11j,q12a_n,q12b_n,q12c_n,q12d_n,q12e_n,q12a_b,q12b_b,q12c_b,q12e_b,q12a_o,q12b_o,q12c_o,q12e_o,q12f,q13,q13_a,q13_b,q14,q14_a,q14_a1,q14_a2,q14_a3,q14_a4,q14_a5,q14_a_o,q15,q16,q17,q18_a,q_18b,q19,q20,q21,q22,q23,q23_a,q24a,q24a_1,q24b,q24b_1,q24c,q24c_1,q24c_2,q24c_21,q24c_22,q24c_23,q24c_24,q24c_25,q24c_2_o,q24c_3,q24d,q24d_1,q24d_2,q24e,q24e_1,q24f,q24f_1,q24f_2,q24g,q24g_1,q24h,q24h_1,q24i,q24i_1,q25,q25other1,q25other2,q25other3,q26_a,q26_b,q26_c,q26_d,q26_e,q26_f,q26_g,q26_h,q26_h_o,incompercent,q27_a,q27_b,q27_c,q27_d,q27_e,q27_f,q27_g,q27_h,q28a,q28b,q28c,q29,q30,q31,q32,q33,q34,q35.a,q35.b,q35.c,q35.d,q35.e,q35.f,q35.g,q35.h,q35.i,q35.j,q35.k,q36,q37.a,q37.b,q37.c,q38a,q38a1,q38a2,q38a3,q39a,q40a,q41a1,q41a2,q42a,q43a,q43a_o,q44a,q38b,q38b1,q38b1_A,q38b2,q38b2_A,q38b3,q38b3_A,q38b4,q38b4_A,q38b5,q38b5_A,q39b,q40b,q41b1,q41b2,q42b,q43b,q43b_o,q44b,q49,q49_o,q50,q50_o,q51,q52,q53,q54,q55,q56,q57,q58,end_time,end_time_check,version,id,uuid
Mount_Lebanon,Metn,36,1,2021-12-27,10:03:00.000+02:00,2021-12-27T13:22:55.801+02:00,1,1,1,,1,4,21,1,130,2021-11-01,35,1,1,16,5,2,1400,2,3,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,4,1,3,5,1,80,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,3,2,NA,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,1,2,2,2,2,2,2,2,5000,200,NA,2,1,NA,NA,3,7.5,2,3,1,3,2,3,3,3,2,2,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,2,4,2,0,2,1,NA, هالاحصاء على شي فاضي  ما رح بيتحسن شي ولا ح نستفيد شي كل المنظمات بيشحدوا ع ضهرنا,10:22:00.000+02:00,2021-12-27T13:22:55.799+02:00,v76J56snwoiqz2qXnhejk9,246035820,25c4d93e-4d4d-4946-8144-977d92a9de83
Mount_Lebanon,Metn,36,3,2021-12-27,11:21:00.000+02:00,2021-12-27T13:30:30.117+02:00,1,1,1,,1,4,16,1,160,2021-11-01,50,1,1,10,5,2,1000,1,4,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,10,1,8,5,1,150,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,3,1,7,1,1,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,1,4,1,1,2,1,1,1,1,2,NA,2,NA,NA,NA,60,40,NA,NA,NA,NA,NA,NA,,100,3,2,2,2,2,2,2,2,7500,NA,NA,2,1,NA,NA,1,7.5,2,3,2,3,1,1,1,3,2,1,1,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,3,,2,5,2,2,2,2,NA,لا تعليق,11:42:00.000+02:00,2021-12-27T13:30:30.118+02:00,v76J56snwoiqz2qXnhejk9,246035839,c0bb5155-ef37-4f59-aa44-ce6085072d6d
Mount_Lebanon,Metn,38,6,2021-12-28,17:41:00.000+02:00,2021-12-27T15:49:50.225+02:00,1,1,1,,1,3,12,1,80,2021-11-01,40,1,1,15,10,2,1800,4,4,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,6,1,8,5,1,60,2,NA,NA,NA,2,NA,NA,NA,4,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,2,NA,1,1,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,1,4,1,1,2,2,NA,2,NA,2,NA,2,NA,NA,NA,20,70,NA,NA,10,NA,NA,NA,,100,3,2,2,2,2,2,2,2,7500,NA,NA,2,1,NA,NA,1,7.5,2,2,2,3,2,1,2,3,2,1,1,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,1,4,1,2,2,1,NA,"لا تعليق
",18:04:00.000+02:00,2021-12-27T15:49:50.225+02:00,v76J56snwoiqz2qXnhejk9,246323964,247159ca-fda4-47c0-919b-8e19f95fdab0
Mount_Lebanon,Metn,41,11,2021-12-29,16:04:00.000+02:00,2021-12-29T09:37:47.282+02:00,1,1,1,,1,4,12,1,150,2021-12-01,70,1,1,12,10,2,2000,4,5,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,8,1,10,5,1,300,2,NA,NA,NA,2,NA,NA,NA,2,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,3,1,7,1,1,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,1,1,1,1,2,1,1,1,1,1,1,2,NA,NA,NA,50,20,30,NA,NA,NA,NA,NA,,100,1,2,1,2,2,2,2,2,7500,NA,NA,1,1,NA,NA,3,7.5,2,3,2,3,2,2,2,3,2,1,1,1,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,2,4,1,1,2,2,NA,لا تعليق,16:23:00.000+02:00,2021-12-29T09:37:47.282+02:00,v76J56snwoiqz2qXnhejk9,246687365,cb884037-0cd4-42ea-b93a-8628faf638b6
Mount_Lebanon,Jbeil,89,1,2022-01-01,09:48:00.000+02:00,2022-01-01T13:09:46.519+02:00,1,1,1,,1,2,18,1,170,2021-12-01,75,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,9,20,2000,4,4,3,,NA,NA,NA,NA,NA,NA,NA,,6,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,6,2,,,1,1,1,0,0,0,0,,2021-02-01,350,0,NA,NA,1,2,4,2,2,NA,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,2,NA,2,NA,NA,2,NA,1,1,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,3,2,2,2,2,2,2,2,7500,NA,NA,2,1,NA,NA,2,7.5,2,2,3,3,2,1,2,3,2,1,1,2,2,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,4,0,2,2,2,NA,في ضيع البلدية عم تدعم المشتركين و عم تعفيهن من تكاليف الاشتراكات لازم كل البلديات تعمل هيك و تكون مدعومة من منظمات حقوق الإنسان لان نصف مدخول الفرد عم يروح على تكاليف تغذية الكهربا,10:11:00.000+02:00,2022-01-01T13:09:46.519+02:00,v76J56snwoiqz2qXnhejk9,247345954,cfabadec-c215-4458-8653-33aefa836e72
Mount_Lebanon,Keserwan,82,3,2022-01-01,16:42:00.000+02:00,2022-01-01T17:44:51.261+02:00,1,1,1,,1,5,14,1,80,2021-12-01,70,1,1,10,10,2,1500,4,4,3,1,9,25,2500,4,4,4,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,0,2,NA,NA,NA,NA,1,6,25,400,2,NA,NA,NA,4,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,2,NA,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,3,2,2,2,2,2,2,2,7500,NA,NA,2,4,NA,NA,3,7.5,2,2,2,3,3,1,2,3,2,1,1,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,4,2,1,2,1,NA,كلا,17:02:00.000+02:00,2022-01-01T17:44:51.261+02:00,v76J56snwoiqz2qXnhejk9,247523647,912ea143-f872-46ac-bfdc-189f6adaef5c
North_Lebanon,Akkar,105,19,2021-12-08,15:24:00.000+02:00,2021-12-08T15:23:21.612+02:00,1,1,1,,1,2,11,1,25,2021-09-01,30,1,1,14,5,2,600,1,4,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,4,1,9,5,2,60,2,NA,NA,NA,2,NA,NA,NA,4,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,1,2,1,5,1,1,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,3,NA,3,NA,NA,1,1,1,1,2,NA,2,NA,NA,NA,60,NA,NA,NA,NA,30,NA,10,Assistance from family,100,3,3,3,3,3,1,3,3,5000,NA,NA,4,1,NA,NA,3,7,1,3,3,3,2,2,2,3,3,2,2,3,1,2,2,2 1,1,1,0,2,1,NA,70,,3,,2,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,1,2,0,0,2,1,NA,لا يوجد,15:40:00.000+02:00,2021-12-08T15:23:21.600+02:00,v76J56snwoiqz2qXnhejk9,240394495,8aff0cc6-2178-427d-84e5-3fe1a80c2768
North_Lebanon,Akkar,116,4,2021-12-06,14:11:00.000+02:00,2021-12-06T14:10:13.670+02:00,1,1,1,,1,2,12,1,100,2021-12-01,80,1,1,2,5,2,1400,1,1,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,14,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,1,7,2,NA,1,2,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,1,1,1,1,2,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,,100,2,2,2,2,2,3,3,2,1400,NA,NA,3,1,NA,NA,3,7,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,5,0,2,2,1,NA,لاتعليق,14:32:00.000+02:00,2021-12-06T14:10:13.673+02:00,v76J56snwoiqz2qXnhejk9,239561120,baa7d4aa-cf8f-4644-8d1a-4f1607bbb814
Beqaa,Baalbeck,140,3,2021-12-07,12:13:00.000+02:00,2021-12-07T12:12:26.114+02:00,1,1,1,,1,2,6,1,60,2021-10-01,50,1,1,15,3,1,840,2,3,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,6,1,18,3,1,80,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,3,4,2,2,NA,1,1,1,1,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,1,1,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,,100,2,2,2,2,2,2,2,2,1670,NA,NA,3,1,NA,NA,3,7,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,1,,2,7,1,1,2,1,NA,,12:39:00.000+02:00,2021-12-07T12:12:26.113+02:00,v76J56snwoiqz2qXnhejk9,239646748,620571e0-d8c6-4bfd-9aef-d7ae8ae10ae5
South_Lebanon,Jezzine,172,39,2021-12-10,12:42:00.000+02:00,2021-12-10T12:41:19.234+02:00,1,1,1,,1,20,20,1,60,2021-11-01,70,1,1,4,10,1,1000,1,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,0,1,4,10,1,85,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,2,2,NA,2,NA,2,NA,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,,100,1,3,2,2,2,2,2,2,5000,NA,NA,3,1,NA,NA,2,7,1,3,3,3,3,3,3,3,2,2,1,2,2,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,2,6,3,0,2,1,NA,,12:51:00.000+02:00,2021-12-10T12:41:19.237+02:00,v76J56snwoiqz2qXnhejk9,240590469,75f2d5ae-782c-4a29-aa21-e85a03c4e583
Mount_Lebanon,Metn,30,33,2021-12-13,10:53:00.000+02:00,2021-12-13T10:51:47.348+02:00,1,1,1,,1,3,12,1,100,2021-12-01,200,1,1,21,10,2,1200,2,1,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,0,1,12,10,1,150,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,3,2,NA,2,NA,2,NA,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,,100,3,3,2,2,2,2,2,2,7000,NA,NA,2,2,2,4,3,7,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,4,2,0,2,2,NA,,11:15:00.000+02:00,2021-12-13T10:51:47.349+02:00,v76J56snwoiqz2qXnhejk9,241460596,c4a8f6ae-88e7-463d-a6a7-15a99d0ac12e
North_Lebanon,Tripoli,91,15,2021-12-16,22:02:00.000+02:00,2021-12-16T22:00:56.302+02:00,1,1,1,,1,1,10,1,45,2021-10-01,48,1,1,10,5,2,1000,1,3,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,10,1,10,3,2,70,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,1,2,NA,1,1,1,1,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,,100,2,2,3,1,2,2,3,2,800,350,NA,2,4,NA,NA,3,7,2,2,3,2,2,3,3,3,2,2,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,2,2,0,0,2,1,NA,0,22:28:00.000+02:00,2021-12-16T22:00:56.303+02:00,v76J56snwoiqz2qXnhejk9,243089919,9f6a8016-207d-464b-8667-e182f2b03bb3
North_Lebanon,Tripoli,95,17,2021-12-17,12:11:00.000+02:00,2021-12-17T12:10:20.065+02:00,1,1,1,,1,3,12,1,60,2021-12-01,66,1,1,17,6,2,2100,4,5,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,5,1,14,6,2,80,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,1,1,0,2,NA,1,1,2,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,50,NA,50,NA,NA,NA,NA,NA,,100,2,3,1,2,2,2,2,2,7000,400,NA,3,1,NA,NA,3,7,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,5,Sister,1,4,4,0,2,1,NA,0,12:24:00.000+02:00,2021-12-17T12:10:20.062+02:00,v76J56snwoiqz2qXnhejk9,243089924,32043b90-bb91-49c4-86dc-c1967e563d1e
Beqaa,West_Bekaa,136,22,2021-12-10,15:02:00.000+02:00,2021-12-10T15:01:17.517+02:00,1,1,1,,1,3,12,1,40,2020-12-01,60,1,1,6,15,1,2600,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,15,1,12,15,1,600,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,2,NA,2,NA,1,1,3,,,NA,NA,NA,NA,NA,,NA,2,,NA,1,1,1,1,1,1,2,2,NA,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,3,3,3,3,3,3,3,3,6000,NA,NA,3,3,1,2,3,7,1,1,3,3,1,1,2,1,1,1,1,3,1,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,2,Syrian,1,,2,2,0,3,2,1,NA,لا,15:23:00.000+02:00,2021-12-10T15:01:17.516+02:00,v76J56snwoiqz2qXnhejk9,240593181,8444dd96-b7dc-4a57-bdfe-4f7630ac2b47
Beqaa,Rachaya,138,21,2021-12-10,13:36:00.000+02:00,2021-12-10T13:35:40.412+02:00,1,1,1,,1,3,24,1,50,2021-11-01,539,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,,15,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,1,4,2,2,NA,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,2,,NA,2,NA,2,NA,NA,1,2,2,NA,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,1,2,2,2,2,2,2,2,1000,NA,NA,3,3,1,3,3,7,2,2,1,3,2,2,2,1,1,1,1,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,2,Syrian,1,,2,4,0,3,1,1,NA,,13:59:00.000+02:00,2021-12-10T13:35:40.413+02:00,v76J56snwoiqz2qXnhejk9,240658790,f196ce88-8bd3-4c54-ae86-7625e92f33af
Mount_Lebanon,Baabda,19,197,2021-12-24,10:26:00.000+02:00,2021-12-24T10:25:07.615+02:00,1,1,1,,1,1,12,3,999,2021-09-01,206,1,1,9,5,2,950,1,2,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,14,1,12,5,2,70,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,3,2,2,NA,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,2,,NA,3,NA,3,NA,NA,1,1,1,1,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,2,2,2,2,2,2,2,2,4000,NA,NA,4,3,1,4,3,7,1,3,3,3,1,1,1,1,1,1,1,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,4,1,0,2,1,NA,No,11:01:00.000+02:00,2021-12-24T10:25:07.615+02:00,v76J56snwoiqz2qXnhejk9,245217912,b8d2fdba-bc8b-4b64-9a8c-0bd97c6b3ff3
South_Lebanon,Sour,171,132,2021-12-14,10:13:00.000+02:00,2021-12-14T10:28:31.132+02:00,1,1,1,,1,1,12,1,70,2021-11-01,24,1,1,8,10,2,1050,2,5,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,10,1,12,10,2,60,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,2,2,1,4,1,2,1,2,1,Refrigerator for insulin,5,0,0,0,0,1,Leave them in the refrigerator until power comes back,1,3,,NA,1,1,3,NA,NA,2,NA,2,NA,2,NA,1,1,1,0,NA,NA,NA,NA,100,NA,NA,NA,,100,2,2,2,2,2,2,2,2,1200,NA,NA,4,1,NA,NA,3,7,1,1,1,3,1,1,1,3,1,1,1,3,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,5,1,2,2,1,NA,"الكهربا م منيحة بالمرة
ما بعرف ليه عم تسألو عن شي مش موجود",10:30:00.000+02:00,2021-12-14T10:28:31.133+02:00,v76J56snwoiqz2qXnhejk9,241997608,bc368e91-b624-4538-b04c-9774c65c8516
Mount_Lebanon,Metn,22,73,2021-12-18,17:12:00.000+02:00,2021-12-18T17:09:50.811+02:00,1,1,1,,1,2,12,1,50,2021-12-01,80,1,1,16,5,1,1500,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,6,1,12,5,1,60,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,2,NA,2,NA,2,NA,2,,,NA,NA,NA,NA,NA,,NA,3,,NA,1,1,1,1,2,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,,100,2,2,2,2,2,2,2,2,7000,NA,NA,3,1,NA,NA,3,7,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,7,2,3,2,1,NA,,17:37:00.000+02:00,2021-12-18T17:09:50.809+02:00,v76J56snwoiqz2qXnhejk9,243217058,2bf11077-07c9-442c-bd3e-d26df3d40811
South_Lebanon,Saida,151,1,2021-12-06,12:15:00.000+02:00,2021-12-06T12:12:06.247+02:00,1,1,1,,1,5,12,1,40,2021-11-01,72,1,1,12,10,2,760,5,4,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,6,1,12,10,2,70,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,1,2,NA,2,NA,1,1,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,1,2,1,2,2,1,1,2,NA,2,NA,2,NA,NA,NA,NA,30,NA,70,NA,NA,NA,NA,,100,2,3,2,1,2,2,2,2,4500,NA,NA,2,3,2,4,3,7,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,4,,1,2,1,2,2,1,NA,,12:32:00.000+02:00,2021-12-06T12:12:06.248+02:00,v76J56snwoiqz2qXnhejk9,239138055,8aeb3cfd-ffd8-4bbe-9515-159d7f6f2e15
South_Lebanon,Saida,149,13,2021-12-07,10:48:00.000+02:00,2021-12-07T10:46:31.788+02:00,1,1,1,,1,2,12,1,160,2021-11-01,230,1,1,18,10,1,3000,5,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,4,1,12,10,1,150,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,4,2,1,30,1,1,1,4,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,2,NA,1,1,2,2,NA,2,NA,2,NA,2,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,,100,3,2,2,2,2,2,2,2,3000,NA,NA,3,3,2,3,3,7,2,2,3,3,2,2,2,2,2,2,2,3,1,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,2,0,1,2,1,NA,,10:58:00.000+02:00,2021-12-07T10:46:31.795+02:00,v76J56snwoiqz2qXnhejk9,239446466,4a5e01d1-7ce8-4ee4-8245-7500341ad215
Beqaa,Baalbeck,140,3,2021-12-07,12:15:00.000+02:00,2021-12-07T12:11:33.588+02:00,1,1,1,,1,2,5,1,70,2021-06-01,35,1,1,8,3,1,840,1,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,13,1,12,3,1,50,2,NA,NA,NA,2,NA,NA,NA,0,2,,,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,4,2,2,NA,2,NA,2,NA,3,,,NA,NA,NA,NA,NA,,NA,3,,NA,1,1,2,NA,NA,1,2,2,NA,2,NA,2,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,,100,2,2,2,2,2,2,2,2,2250,NA,NA,3,1,NA,NA,3,7,3,1,2,1,1,1,1,3,1,1,2,2,2,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,NA,NA,NA,,NA,,NA,1,,2,,1,2,0,4,1,1,NA,,12:36:00.000+02:00,2021-12-07T12:11:33.584+02:00,v76J56snwoiqz2qXnhejk9,239636416,4250ed57-0690-4be8-97f7-6741ef7cadf7
